Line style is unicode.
Expanded display is used automatically.
Target width is unset.
family_name,title
Иванов,Проект1
Петрова,Проект2
Сидорова,Проект3
Иванов,Проект4
Сидорова,Проект5
Петрова,Проект6
Иванов,Проект Ы
Петрова,Проект А
family_name,title,type_name
Иванов,Проект1,Технология
Петрова,Проект2,НИР
Сидорова,Проект3,Технология
Иванов,Проект4,НИР
Сидорова,Проект5,ОКР
Петрова,Проект6,Технология
family_name,title,type_name
Иванов,Проект1,Технология
Сидорова,Проект3,Технология
Петрова,Проект6,Технология
title,start_date,duration_years,cost_rub,family_name,age,type_name
Проект1,2004-02-03,5,1200,Иванов,30,Технология
Проект2,2005-01-15,4,800,Петрова,29,НИР
Проект3,2005-02-02,3,950,Сидорова,41,Технология
Проект4,2005-03-02,5,1000,Иванов,30,НИР
Проект5,2005-02-14,5,900,Сидорова,41,ОКР
Проект6,2005-04-04,5,1100,Петрова,29,Технология
family_name,title,start_date
Петрова,Проект2,2005-01-15
Сидорова,Проект3,2005-02-02
Иванов,Проект4,2005-03-02
Сидорова,Проект5,2005-02-14
Петрова,Проект6,2005-04-04
title,start_date,type_name
Проект1,2004-02-03,Технология
Проект2,2005-01-15,НИР
Проект3,2005-02-02,Технология
Проект4,2005-03-02,НИР
Проект5,2005-02-14,ОКР
Проект6,2005-04-04,Технология
Проект Ы,2024-02-03,
Проект А,2024-05-03,
Проект Ы,2026-02-03,Технология
Проект А,2024-05-03,НИР
title,start_date,type_name
Проект1,2004-02-03,Технология
Проект2,2005-01-15,НИР
Проект3,2005-02-02,Технология
Проект4,2005-03-02,НИР
Проект5,2005-02-14,ОКР
Проект6,2005-04-04,Технология
Проект Ы,2024-02-03,
Проект А,2024-05-03,
Проект Ы,2026-02-03,Технология
Проект А,2024-05-03,НИР
title,start_date,duration_years,cost_rub,family_name,age,type_name
Проект1,2004-02-03,5,1200,Иванов,30,Технология
Проект2,2005-01-15,4,800,Петрова,29,НИР
Проект3,2005-02-02,3,950,Сидорова,41,Технология
Проект4,2005-03-02,5,1000,Иванов,30,НИР
Проект5,2005-02-14,5,900,Сидорова,41,ОКР
Проект6,2005-04-04,5,1100,Петрова,29,Технология
Проект Ы,2024-02-03,5,1200,Иванов,30,
Проект А,2024-05-03,3,200,Петрова,29,
Проект Ы,2026-02-03,5,1200,,,Технология
Проект А,2024-05-03,3,200,,,НИР
